customer_id,receipts,total_spend_bhd,average_order_bhd,last_purchase,days_since_purchase,high_value,recent,inactive,alteration_customer,audience_tags,primary_audience,recommended_campaign,campaign_reason
CUST-001,1,40.0,40.0,2025-03-20,529.0,True,False,True,False,"High Value, Inactive",Inactive High Value,VIP Return Offer,Win back a valuable customer without a mass campaign
CUST-002,1,39.0,39.0,2025-03-20,529.0,False,False,True,False,Inactive,Inactive,10% Return Offer,Encourage a customer who has not purchased recently
CUST-003,1,1.5,1.5,2025-03-21,528.0,False,False,True,True,"Inactive, Alteration Customer",Inactive,10% Return Offer,Encourage a customer who has not purchased recently
CUST-004,1,39.0,39.0,2025-03-21,528.0,False,False,True,False,Inactive,Inactive,10% Return Offer,Encourage a customer who has not purchased recently
CUST-005,1,,,2025-03-22,527.0,False,False,True,False,Inactive,Inactive,10% Return Offer,Encourage a customer who has not purchased recently
CUST-006,1,,,2025-03-22,527.0,False,False,True,False,Inactive,Inactive,10% Return Offer,Encourage a customer who has not purchased recently
CUST-007,1,120.0,120.0,2025-03-22,527.0,True,False,True,False,"High Value, Inactive",Inactive High Value,VIP Return Offer,Win back a valuable customer without a mass campaign
CUST-008,1,38.0,38.0,2025-03-22,527.0,False,False,True,False,Inactive,Inactive,10% Return Offer,Encourage a customer who has not purchased recently
CUST-009,1,2.0,2.0,2025-03-22,527.0,False,False,True,True,"Inactive, Alteration Customer",Inactive,10% Return Offer,Encourage a customer who has not purchased recently
CUST-010,1,38.0,38.0,2025-03-22,527.0,False,False,True,False,Inactive,Inactive,10% Return Offer,Encourage a customer who has not purchased recently
CUST-011,1,39.0,39.0,2025-03-23,526.0,False,False,True,False,Inactive,Inactive,10% Return Offer,Encourage a customer who has not purchased recently
CUST-012,1,2.0,2.0,2025-03-24,525.0,False,False,True,True,"Inactive, Alteration Customer",Inactive,10% Return Offer,Encourage a customer who has not purchased recently
CUST-013,1,1.5,1.5,2025-03-24,525.0,False,False,True,True,"Inactive, Alteration Customer",Inactive,10% Return Offer,Encourage a customer who has not purchased recently
CUST-014,1,,,2025-03-25,524.0,False,False,True,False,Inactive,Inactive,10% Return Offer,Encourage a customer who has not purchased recently
CUST-015,1,,,2025-03-26,523.0,False,False,True,False,Inactive,Inactive,10% Return Offer,Encourage a customer who has not purchased recently
CUST-016,1,39.0,39.0,2025-03-26,523.0,False,False,True,False,Inactive,Inactive,10% Return Offer,Encourage a customer who has not purchased recently
